imdb_id,name,imdb_rating,meta_score,votes,genres,runtime,certificate,revenue,budget,release_date,language
tt2322441,Fifty Shades of Grey,4.1,46,284318,"Drama, Romance, Thriller",125,R,569651467,40000000,2015-02-13,English
tt2096673,Inside Out,8.2,94,556869,"Animation, Adventure, Comedy",95,PG,857611174,175000000,2015-06-19,English
tt3460252,The Hateful Eight,7.8,68,464469,"Crime, Drama, Mystery",168,R,155760117,44000000,2015-12-30,English
tt3397884,Sicario,7.6,82,339518,"Action, Crime, Drama",121,R,84872444,30000000,2015-10-02,English
tt1596363,The Big Short,7.8,81,321986,"Biography, Comedy, Drama",130,R,133440870,28000000,2015-12-23,English
tt3605418,Knock Knock,4.9,53,71457,"Drama, Thriller",99,R,5567103,2500000,2015-10-09,English
tt2820852,Furious 7,7.2,67,341983,"Action, Adventure, Thriller",137,PG-13,1515047671,190000000,2015-04-03,English
tt2395427,Avengers: Age of Ultron,7.3,66,689724,"Action, Adventure, Sci-Fi",141,PG-13,1402805868,250000000,2015-05-01,English
tt3659388,The Martian,8,80,702471,"Adventure, Drama, Sci-Fi",144,PG-13,630161890,108000000,2015-10-02,English
tt2379713,Spectre,6.8,60,359719,"Action, Adventure, Thriller",148,PG-13,880674609,245000000,2015-11-06,English
tt2126355,San Andreas,6,43,197999,"Action, Adventure, Drama",114,PG-13,473990832,110000000,2015-05-29,English
tt3569230,Legend,6.9,55,143788,"Biography, Crime, Drama",132,R,42972994,30000000,2015-11-20,English
tt1661199,Cinderella,6.9,67,148026,"Drama, Family, Fantasy",105,PG,542351353,95000000,2015-03-13,English
tt2279373,The SpongeBob Movie: Sponge Out of Water,6,62,45102,"Animation, Adventure, Comedy",92,PG,325186032,74000000,2015-02-06,English
tt1895587,Spotlight,8.1,93,378724,"Biography, Crime, Drama",129,R,98275238,20000000,2015-11-20,English
tt0478970,Ant-Man,7.3,64,524028,"Action, Adventure, Comedy",117,PG-13,519311965,130000000,2015-07-17,English
tt2400463,The Invitation,6.6,74,76256,"Drama, Horror, Mystery",100,Not Rated,354835,0,2016-04-08,English
tt2848292,Pitch Perfect 2,6.4,63,133902,"Comedy, Music",115,PG-13,287144079,29000000,2015-05-15,English
tt2058673,Point Break,5.3,34,54969,"Action, Crime, Sport",114,PG-13,133718711,105000000,2015-12-25,English
tt2381249,Mission: Impossible - Rogue Nation,7.4,75,320192,"Action, Adventure, Thriller",131,PG-13,682714267,150000000,2015-07-31,English
tt1617661,Jupiter Ascending,5.3,40,170098,"Action, Adventure, Sci-Fi",127,PG-13,183887723,176000000,2015-02-06,English
tt1618442,The Last Witch Hunter,6,34,88666,"Action, Adventure, Fantasy",106,PG-13,146936910,90000000,2015-10-23,English
tt1951266,The Hunger Games: Mockingjay - Part 2,6.5,65,261203,"Action, Adventure, Sci-Fi",137,PG-13,653428261,160000000,2015-11-20,English
